Fecha,Hora,Nombre,Calorias (kcal),Carbohidratos (g),Lípidos (g),Proteína (g),Sodio (mg)
2/9/2021,8:00,Sincronizada,482,71.9,13.9,17.3,1.3
2/9/2021,16:00,bistec en salsa verde,151,6.1,4.1,22.8,1.8
2/9/2021,16:00,arroz blanco,204,44.1,0.4,4.2,577
2/9/2021,16:00,sopa de verduras,98,14.8,0,4.8,104
2/9/2021,16:00,coca-cola,89,24.7,0,0,28.5
2/9/2021,16:00,tortillas,100,20,2.5,2,10
2/9/2021,21:00,café con leche,52,3.9,2.6,2.8,0
2/9/2021,22:00,cuernito,198,32,3.8,5,110
2/10/2021,8:00,arroz blanco,204,44.1,0.4,4.2,577
2/10/2021,8:00,tortillas,100,20,2.5,2,10
2/10/2021,8:00,huevos revueltos,199,2,15.2,13,211
2/10/2021,16:00,enchiladas,924,84,14.4,108,1000
2/10/2021,16:00,tasajo,197,0,7.2,38.4,888
2/10/2021,16:00,agua de piña,172,43,0,0,6.2
2/10/2021,21:00,tarta,279,47.2,9,3.2,0
2/11/2021,8:00,sopes,398,82,4,8,40
2/11/2021,16:00,tlacoyos,348,68.7,12.7,12,100
2/11/2021,16:00,pechuga de pollo,104,0,1.3,21.5,55
2/11/2021,16:00,caldo de pollo,244,14,15,13,55.5
2/11/2021,16:00,jarritos,254,61.3,0,0,95.1
2/11/2021,21:00,tacos al pastor,1105,90,40,90,2760
2/12/2021,8:00,huevos revueltos,199,2,15.2,13,211
2/12/2021,8:00,bolillo,125,22.6,1.9,3.9,274
2/12/2021,8:00,mayonesa,180,0,20,0,0
2/12/2021,16:00,milanesa,180,1.7,10.5,19.5,667
2/12/2021,16:00,spaghetti,293,53.6,4,9.9,0
2/12/2021,21:00,torta de milanesa,670,70,30,30,0
2/13/2021,8:00,huevos revueltos,199,2,15.2,13,211
2/13/2021,8:00,mayonesa,180,0,20,0,0
2/13/2021,8:00,pan integral,130,20,2,8,190
2/13/2021,8:00,café con leche,52,3.9,2.6,2.8,0
2/13/2021,16:00,tortillas,200,40,5,4,20
2/13/2021,16:00,tasajo,197,0,7.2,38.4,888
2/13/2021,16:00,frijoles charros,202,10.3,14,8.3,791
2/13/2021,16:00,agua de limon,104,26,0,0,10
2/13/2021,16:00,champiñones,33,5,0.5,2.2,2
2/13/2021,21:00,nito,252,37.4,10,3,155
2/13/2021,21:00,leche,145,13.8,7.5,5.5,210
2/14/2021,8:00,chocomilk,140,20.5,3.5,6.6,104
2/14/2021,8:00,pan integral,130,20,2,8,190
2/14/2021,8:00,mayonesa,90,0,10,0,0
2/14/2021,8:00,milanesa,180,1.7,10.5,19.5,667
2/14/2021,17:00,coca-cola,89,24.7,0,0,28.5
2/14/2021,17:00,torta de milanesa,1340,140,60,60,0
2/15/2021,8:00,huevos revueltos,199,2,15.2,13,211
2/15/2021,8:00,pan integral,130,20,2,8,190
2/15/2021,8:00,mayonesa,180,0,20,0,0
2/15/2021,16:00,coditos,266,57,0.8,8,11
2/15/2021,16:00,jarritos,254,61.3,0,0,95.1
2/15/2021,16:00,pan ajo con  queso,418,42.3,18.3,20.7,0
2/15/2021,16:00,frijoles refritos,367,47.6,13.2,15.9,711
2/15/2021,21:00,hot-cakes,167,26.1,4.5,5.5,298
2/15/2021,21:00,miel de maple,75,18.8,0,0,18.8
2/16/2021,8:00,huevos revueltos,199,2,15.2,13,211
2/16/2021,8:00,pan integral,130,20,2,8,190
2/16/2021,8:00,mayonesa,180,0,20,0,0
2/16/2021,8:00,frijoles refritos,92,11.9,3.3,4,177.8
2/16/2021,16:00,pechuga de pollo,104,0,1.3,21.5,55
2/16/2021,16:00,bolillo,125,22.6,1.9,3.9,274
2/16/2021,16:00,caldo de pollo,244,14,15,13,55.5
2/16/2021,16:00,frijoles refritos,367,47.6,13.2,15.9,711
2/16/2021,21:00,canelitas,280,44,10,4,190
2/16/2021,21:00,danup,220,26,3.6,6,0
2/17/2021,8:00,chocomilk,140,20.5,3.5,6.6,104
2/17/2021,8:00,tortillas,100,20,2.5,2,10
2/17/2021,8:00,huevos revueltos,199,2,15.2,13,211
2/17/2021,8:00,arroz blanco,204,44.1,0.4,4.2,577
